Index,Nom,Adresse,Localitée,Full Address,Latitude,Longitude,Telephone,FAX,URL,email
11,"BEAU-SITE, EMS",Chemin du Crépon 32,1815 Clarens,Chemin du Crépon 32 1815 Clarens ,46.4486509,6.8942485,Tél: 021 989 53 99,Fax: 021 989 53 50,https://www.heviva.ch/institutions/detail/ems/beau-site-ems.html,direction@ems-fbs.ch
12,"BEAUSOBRE, LP de la Résidence de",Avenue de Vertou 6,1110 Morges,Avenue de Vertou 6 1110 Morges ,46.5161999,6.4978319,Tél: 021 694 30 20,,https://www.heviva.ch/institutions/detail/ems/beausobre-lp-de-la-residence-de.html,info@alterimo.ch
13,"BELLEVUE, CAT de l'EMS",Route de Burtigny 11,1268 Begnins,Route de Burtigny 11 1268 Begnins ,46.4426107,6.2457694,Tél: 022 366 61 11,,https://www.heviva.ch/institutions/detail/ems/bellevue-cat-de-lems.html,info@bellesaison.ch
14,"BERGES DU LEMAN, EMS LES","Boulevard Henri-Plumhof 3, Case postale 192",1800 Vevey 1,"Boulevard Henri-Plumhof 3, Case postale 192 1800 Vevey 1 ",46.4631396,6.8541941,Tél: 021 925 56 56,,https://www.heviva.ch/institutions/detail/ems/berges-du-leman-ems-les.html,admin@fcm63.ch
15,"BETHANIE, CS de l'institution",Avenue de la Vallombreuse 34,1004 Lausanne,Avenue de la Vallombreuse 34 1004 Lausanne ,46.5344364,6.6141635,Tél: 021 641 71 50,Fax: 021 641 72 72,https://www.heviva.ch/institutions/detail/ems/bethanie-cs-de-linstitution.html,info@bethanie.ch
16,"BETHANIE, INSTITUTION DE",Avenue de la Vallombreuse 34,1004 Lausanne,Avenue de la Vallombreuse 34 1004 Lausanne ,46.5344364,6.6141635,Tél: 021 641 71 50,Fax: 021 641 72 72,https://www.heviva.ch/institutions/detail/ems/bethanie-institution-de.html,info@bethanie.ch
17,"BETHANIE, LP de la Résidence de",Avenue de la Vallombreuse 32,1004 Lausanne,Avenue de la Vallombreuse 32 1004 Lausanne ,46.5339261,6.6141577,Tél: 021 641 71 50,,https://www.heviva.ch/institutions/detail/ems/bethanie-lp-de-la-residence-de.html,f.risse@bethanie.ch
18,"BETHEL, CS",Chemin de Lacuez 4,1807 Blonay,Chemin de Lacuez 4 1807 Blonay ,46.4668936,6.8889441,Tél: 021 925 50 48,Fax: 021 925 50 41,https://www.heviva.ch/institutions/detail/ems/bethel-cs.html,info@maison-bethel.ch
19,"BOIS GENTIL, SITE DU PETIT FLON, EMS",Chemin du Petit Flon 49,1018 Lausanne,Chemin du Petit Flon 49 1018 Lausanne ,46.5423604,6.6248241,Tél: 021 512 32 00,,https://www.heviva.ch/institutions/detail/ems/bois-gentil-site-du-petit-flon-ems.html,info@fbg.ch
20,"BOIS-GENTIL, SITE DE SAUVABELIN, EMS",Route du Pavement 20,1018 Lausanne,Route du Pavement 20 1018 Lausanne ,46.5321025,6.6358499,Tél: 021 512 34 00,,https://www.heviva.ch/institutions/detail/ems/bois-gentil-site-de-sauvabelin-ems.html,info@fbg.ch
21,"BORDE, FOYER DE LA",Rue de la Borde 59,1018 Lausanne,Rue de la Borde 59 1018 Lausanne ,46.5318985,6.6298619,Tél: 021 642 74 74,Fax: 021 642 74 70,https://www.heviva.ch/institutions/detail/ems/borde-foyer-de-la.html,caffaro.direction@sispsa.ch
22,"BURIER, MAISON DE RETRAITE",Avenue des Bosquets de Julie 67,1815 Clarens,Avenue des Bosquets de Julie 67 1815 Clarens ,46.4478684,6.880918,Tél: 021 989 23 23,Fax: 021 989 23 24,https://www.heviva.ch/institutions/detail/ems/burier-maison-de-retraite.html,info@emsburier.ch
23,CAT LA MENTHUE,Chemin de Pardine 2,1462 Yvonand,Chemin de Pardine 2 1462 Yvonand ,46.7956727,6.7488348,Tél: 024 430 10 15,,https://www.heviva.ch/institutions/detail/ems/menthue-cat-la.html,lamenthue@fondation-saphir.ch
24,CAT LE VERGER,Chemin de la Magnenette 2,1350 Orbe,Chemin de la Magnenette 2 1350 Orbe ,46.7291557,6.5333125,Tél: 024 442 61 53,,https://www.heviva.ch/institutions/detail/ems/verger-cat-le.html,leverger@fondation-saphir.ch
25,CAT LES SOURCES,Route de Bellevue 57,1400 Yverdon,Route de Bellevue 57 1400 Yverdon ,46.7738589,6.6635141,Tél: 024 426 06 96,,https://www.heviva.ch/institutions/detail/ems/sources-cat-les.html,lessources@fondation-saphir.ch
26,CAT MANUREVA,"Village 52 SA, Av. de Grandson 48 - CP 1349",1401 Yverdon-les-Bains,"Village 52 SA, Av. de Grandson 48 - CP 1349 1401 Yverdon-les-Bains ",46.7880936,6.6309683,Tél: 024 425 94 46,,https://www.heviva.ch/institutions/detail/ems/manureva-cat.html,manureva@fondation-saphir.ch
27,CAT TURQUOISE,Route de l'Ancienne-Poste 42,1337 Vallorbe,Route de l'Ancienne-Poste 42 1337 Vallorbe ,46.7126758,6.3790863,Tél: 021 843 00 09,,https://www.heviva.ch/institutions/detail/ems/turquoise-cat.html,turquoise@fondation-saphir.ch
28,"CERISIERS, EMS LES",Rue des Cerisiers 15,1530 Payerne,Rue des Cerisiers 15 1530 Payerne ,46.8185366,6.9448946,Tél: 026 662 89 11,Fax: 026 662 81 01,https://www.heviva.ch/institutions/detail/ems/cerisiers-ems-les.html,jeanluc.sapin@hibroye.ch
29,"CHAMP-FLEURI, EPSM",Route de Champ-Fleuri 8,1823 Glion,Route de Champ-Fleuri 8 1823 Glion ,46.434297,6.9257384,Tél: 021 966 05 40,Fax: 021 966 05 41,https://www.heviva.ch/institutions/detail/ems/champ-fleuri-epsm.html,secretariat@champ-fleur.ch
30,"CHAMP-FLEURI, EPSM",Route de Champ-Fleuri 8,1823 Glion,Route de Champ-Fleuri 8 1823 Glion ,46.434297,6.9257384,Tél: 021 966 05 40,Fax: 021 966 05 41,https://www.heviva.ch/institutions/detail/ems/champ-fleuri-lp-de-lems.html,secretariat@champ-fleuri.ch
31,"CHANELLA, EPSM",Chemin de Chanella 14,1658 Rossinière,Chemin de Chanella 14 1658 Rossinière ,46.4671042,7.0828407,Tél: 026 924 20 40,Fax: 026 924 20 49,https://www.heviva.ch/institutions/detail/ems/chanella-epsm.html,info@cogestems.ch
32,"CHATEAU DE CORCELLES, EMS LE",Clos du Château 3,1426 Corcelles-près-Concise,Clos du Château 3 1426 Corcelles-près-Concise ,46.8457843,6.7070629,Tél: 024 434 62 30,Fax: 024 434 62 37,https://www.heviva.ch/institutions/detail/ems/chateau-de-corcelles-ems-le.html,direction@chateaucorcelles.ch
33,"CHATEAU DE FECHY, CS",Chemin de la Crausaz 1,1173 Féchy,Chemin de la Crausaz 1 1173 Féchy ,46.4795605,6.3710172,Tél: 021 805 03 60,Fax: 021 805 03 69,https://www.heviva.ch/institutions/detail/ems/chateau-de-fechy-cs.html,info@fondationsilo.ch
34,"CHATEAU DE FECHY, HNM",Chemin de la Crausaz 1,1173 Féchy,Chemin de la Crausaz 1 1173 Féchy ,46.4795605,6.3710172,Tél: 021 805 03 60,Fax: 021 805 03 69,https://www.heviva.ch/institutions/detail/ems/chateau-de-fechy-hnm.html,info@fondationsilo.ch
35,"CHATEAU DES NOVALLES, EMS",Chemin du Paradis 1,1807 Blonay,Chemin du Paradis 1 1807 Blonay ,46.4626214,6.8814872,Tél: 021 943 08 00,Fax: 021 943 08 99,https://www.heviva.ch/institutions/detail/ems/chateau-des-novalles-ems.html,info@chateaunovalles.ch
36,"CHATEAUX LES, SITE D'ECHALLENS",Route d'Orbe 4,1040 Echallens,Route d'Orbe 4 1040 Echallens ,46.6418928,6.6311981,Tél: 021 886 36 36,Fax: 021 886 36 35,https://www.heviva.ch/institutions/detail/ems/chateaux-les-site-dechallens.html,info@leschateaux.org
37,"CHATEAUX LES, SITE DE GOUMOENS LA VILLE",Rue du Château 5,1376 Goumoens-la-Ville,Rue du Château 5 1376 Goumoens-la-Ville ,46.6571924,6.6046035,Tél: 021 886 35 35,Fax: 021 886 35 34,https://www.heviva.ch/institutions/detail/ems/chateaux-les-site-de-goumoens-la-ville.html,info@leschateaux.org
38,"CHOCOLATIERE, CS",Rue de la Chocolatière 30,1026 Echandens,Rue de la Chocolatière 30 1026 Echandens ,46.542547,6.549568,Tél: 058 748 85 30,Fax: 058 748 85 99,https://www.heviva.ch/institutions/detail/ems/chocolatiere-cs.html,sandrine.heuls@altage.ch
39,"CHOCOLATIERE, EMS La",Rue de la Chocolatière 30,1026 Echandens,Rue de la Chocolatière 30 1026 Echandens ,46.542547,6.549568,Tél: 058 748 85 30,Fax: 058 748 85 99,https://www.heviva.ch/institutions/detail/ems/chocolatiere-ems-la.html,sandrine.heuls@altage.ch
40,"CITE DE LA BORDE, LP La",Rue de la Borde 38,1018 Lausanne,Rue de la Borde 38 1018 Lausanne ,46.5317443,6.6310062,Tél: 021 641 62 00,Fax: 021 641 62 49,https://www.heviva.ch/institutions/detail/ems/cite-de-la-borde-lp-la.html,ems@fdorme.ch
41,"CITE, LP de la Résidence La",Rue du Simplon 26,1800 Vevey,Rue du Simplon 26 1800 Vevey ,46.4602425,6.8452032,Tél: 021 925 90 00,Fax: 021 925 90 09,https://www.heviva.ch/institutions/detail/ems/cite-lp-de-la-residence-la.html,fondation@fondationbeausejour.ch
42,"CLAIR VULLY, CAT de l'EMS","case postale 60, Rue des Savoies 1",1585 Salavaux,"case postale 60, Rue des Savoies 1 1585 Salavaux ",46.9155412,7.0233172,Tél: 026 677 88 00,Fax: 026 677 88 99,https://www.heviva.ch/institutions/detail/ems/clair-vully-cat-de-lems.html,info@clairvully.ch
43,"CLAIR VULLY, CS de l'EMS","case postale 60, Rue des Savoies 1",1585 Salavaux,"case postale 60, Rue des Savoies 1 1585 Salavaux ",46.9155412,7.0233172,Tél: 026 677 88 00,Fax: 026 677 88 99,https://www.heviva.ch/institutions/detail/ems/clair-vully-cs-de-lems.html,info@clairvully.ch
44,"CLAIR VULLY, EMS","case postale 60, Rue des Savoies 1",1585 Salavaux,"case postale 60, Rue des Savoies 1 1585 Salavaux ",46.9155412,7.0233172,Tél: 026 677 88 00,Fax: 026 677 88 99,https://www.heviva.ch/institutions/detail/ems/clair-vully-ems.html,info@clairvully.ch
45,"CLAIR-SOLEIL, EMS",Route de la Pierre 7,1024 Ecublens,Route de la Pierre 7 1024 Ecublens ,46.5299125,6.5577137,Tél: 021 694 22 22,Fax: 021 694 22 10,https://www.heviva.ch/institutions/detail/ems/clair-soleil-ems.html,ems.clairsoleil@fa2.ch
46,"CLAIRIERE, CAT de la Fondation la",Route de St-Cergue 11,1295 Mies,Route de St-Cergue 11 1295 Mies ,46.308662,6.17124,Tél: 022 950 80 24,Fax: 022 950 80 18,https://www.heviva.ch/institutions/detail/ems/clairiere-cat-de-la-fondation-la.html,respcat@laclairiere.ch
47,"CLAIRIERE, CS de la Fondation la",Route de St-Cergue 11,1295 Mies,Route de St-Cergue 11 1295 Mies ,46.308662,6.17124,Tél: 022 950 80 00,Fax: 022 950 80 18,https://www.heviva.ch/institutions/detail/ems/clairiere-cs-de-la-fondation-la.html,info@laclairiere.ch
48,"CLAIRIERE, FONDATION LA",Route de Saint-Cergue 11,1295 Mies,Route de Saint-Cergue 11 1295 Mies ,46.308662,6.17124,Tél: 022 950 80 00,Fax: 022 950 80 18,https://www.heviva.ch/institutions/detail/ems/clairiere-fondation-la.html,info@laclairiere.ch
49,"CLAIRIERE, LP de la Fondation La",Route de St-Cergue 11,1295 Mies,Route de St-Cergue 11 1295 Mies ,46.308662,6.17124,Tél: 022 950 80 00,Fax: 022 950 80 18,https://www.heviva.ch/institutions/detail/ems/clairiere-lp-de-la-fondation-la.html,info@laclairiere.ch
50,"CLE DES CHAMPS, CS de l'EMS",Route du Signal 6,1185 Mont-sur-Rolle,Route du Signal 6 1185 Mont-sur-Rolle ,46.4881478,6.3536515,Tél: 021 822 52 52,,https://www.heviva.ch/institutions/detail/ems/cle-des-champs-cs-de-lems.html,info@bellesaison.ch
51,"CLEF DES CHAMPS, CAT de l'EMS",Route du Signal 6,1185 Mont-sur-Rolle,Route du Signal 6 1185 Mont-sur-Rolle ,46.4881478,6.3536515,Tél: 021 822 52 52,,https://www.heviva.ch/institutions/detail/ems/clef-des-champs-cat-de-lems.html,info@bellesaison.ch
52,"CLEF DES CHAMPS, EMS",Route du Signal 6,1185 Mont-sur-Rolle,Route du Signal 6 1185 Mont-sur-Rolle ,46.4881478,6.3536515,Tél: 021 822 52 52,Fax: 021 822 52 53,https://www.heviva.ch/institutions/detail/ems/clef-des-champs-ems.html,info@bellesaison.ch
53,"CLEMENCE, CAT de la Fondation la",Avenue de Morges 64,1004 Lausanne,Avenue de Morges 64 1004 Lausanne ,46.5269465,6.6100038,Tél: 021 620 72 46,Fax: 021 620 72 00,https://www.heviva.ch/institutions/detail/ems/clemence-cat-de-la-fondation-la.html,cat@fondation-clemence.ch
54,"CLEMENCE, CS de la Fondation",Avenue de Morges 64,1004 Lausanne,Avenue de Morges 64 1004 Lausanne ,46.5269465,6.6100038,Tél: 021 620 72 72,Fax: 021 620 72 44,https://www.heviva.ch/institutions/detail/ems/clemence-cs-de-la-fondation.html,fondation-clemence@fondation-clemence.ch
55,"CLEMENCE, FONDATION",Avenue de Morges 64,1004 Lausanne,Avenue de Morges 64 1004 Lausanne ,46.5269465,6.6100038,Tél: 021 620 72 72,Fax: 021 620 72 00,https://www.heviva.ch/institutions/detail/ems/clemence-fondation.html,clemence@fondation-clemence.ch
56,"CLEMENCE, LP de la Fondation",Avenue de Morges 64C,1004 Lausanne,Avenue de Morges 64C 1004 Lausanne ,46.5267637,6.6094385,Tél: 021 620 72 72,Fax: 021 620 72 70,https://www.heviva.ch/institutions/detail/ems/clemence-lp-de-la-fondation.html,fondation-clemence@fondation-clemence.ch
57,"CLOS DES TZAMS, HNM",Route des Blanchettes 30,1660 L'Etivaz,Route des Blanchettes 30 1660 L'Etivaz ,46.4250956,7.1460006,Tél: 026 924 49 46,Fax: 026 924 49 45,https://www.heviva.ch/institutions/detail/ems/clos-des-tzams-hnm.html,info@cogestems.ch
58,"COLLINE, CAT de l'EMS La",Chemin de Baulet 20,1071 Chexbres,Chemin de Baulet 20 1071 Chexbres ,46.4798962,6.7769862,Tél: 021 946 01 01,Fax: 021 946 01 99,https://www.heviva.ch/institutions/detail/ems/colline-cat-de-lems-la.html,info@emslacolline.org
59,"COLLINE, EMS LA",Chemin de Baulet 20,1071 Chexbres,Chemin de Baulet 20 1071 Chexbres ,46.4798962,6.7769862,Tél: 021 946 01 01,,https://www.heviva.ch/institutions/detail/ems/colline-ems-la.html,info@emslacolline.org
60,COLOCATION RUBIS,"Résidence Agate, Route de Bellevue 57, CP 574",1401 Yverdon-les-Bains,"Résidence Agate, Route de Bellevue 57, CP 574 1401 Yverdon-les-Bains ",46.7738589,6.6635141,Tél: 024 426 10 01,,https://www.heviva.ch/institutions/detail/ems/rubis-colocation.html,rubis@fondation-saphir.ch
61,COLOCATION TOPAZE,"Résidence St-Martin, Chemin des Rigoles 14B",1350 Orbe,"Résidence St-Martin, Chemin des Rigoles 14B 1350 Orbe ",46.7219586,6.5358571,Tél: 024 441 61 67,,https://www.heviva.ch/institutions/detail/ems/topaze-colocation.html,topaze@fondation-saphir.ch
62,"COLOMBES, EMS LES",Avenue de Collonges 1,1004 Lausanne,Avenue de Collonges 1 1004 Lausanne ,46.5273694,6.6216527,Tél: 021 647 50 68,Fax: 021 647 50 67,https://www.heviva.ch/institutions/detail/ems/colombes-ems-les.html,caffaro.direction@sispsa.ch
63,"COLOMBIERE, EPSM LA",Route du Village 51,1513 Hermenches,Route du Village 51 1513 Hermenches ,46.6402823,6.7590259,Tél: 021 905 91 84,,https://www.heviva.ch/institutions/detail/ems/colombiere-epsm-la.html,epsmcolombiere@fondation-saphir.ch
64,"COMMANDANT BAUD, CAT de l'EMS",Chantre aux Daims 1,1143 Apples,Chantre aux Daims 1 1143 Apples ,46.554754,6.4304868,Tél: 021 800 91 11,Fax: 021 800 49 21,https://www.heviva.ch/institutions/detail/ems/commandant-baud-cat-de-lems.html,info@fondationbaud.ch
65,"COMMANDANT BAUD, EMS",Chantre-aux-Daims 1,1143 Apples,Chantre-aux-Daims 1 1143 Apples ,46.554754,6.4304868,Tél: 021 800 91 11,Fax: 021 800 49 21,https://www.heviva.ch/institutions/detail/ems/commandant-baud-ems.html,info@fondationbaud.ch
66,"CONTESSE, EMS",Praz Amiet 6,1322 Croy,Praz Amiet 6 1322 Croy ,46.6922814,6.478485,Tél: 024 453 70 70,,https://www.heviva.ch/institutions/detail/ems/contesse-ems.html,emscontesse@fondation-saphir.ch
67,"COTEAU-MURAZ, CAT de l'EMS",Rue Gambetta 20,1815 Clarens,Rue Gambetta 20 1815 Clarens ,46.4429193,6.896706,Tél: 021 989 55 76,Fax: 021 989 53 50,https://www.heviva.ch/institutions/detail/ems/coteau-muraz-cat-de-lems.html,cat@ems-fbs.ch
68,"COTEAU-MURAZ, EMS",Rue Gambetta 20,1815 Clarens,Rue Gambetta 20 1815 Clarens ,46.4429193,6.896706,Tél: 021 989 55 99,Fax: 021 989 55 50,https://www.heviva.ch/institutions/detail/ems/coteau-muraz-ems.html,direction@ems-fbs.ch
69,"COTTIER BOYS, CS de l'EMS",Rue de la Cage 4,1317 Orny,Rue de la Cage 4 1317 Orny ,46.6677054,6.5245564,Tél: 021 866 72 00,Fax: 021 866 62 49,https://www.heviva.ch/institutions/detail/ems/cottier-boys-cs-de-lems.html,info@cottier-boys.ch
70,"COTTIER BOYS, EMS",Rue de la Cage 4,1317 Orny,Rue de la Cage 4 1317 Orny ,46.6677054,6.5245564,Tél: 021 866 72 00,Fax: 021 866 02 75,https://www.heviva.ch/institutions/detail/ems/cottier-boys-ems.html,c.perrenoud@cottier-boys.ch
71,"DILIGENCE, CAT DE L'EMS","Rue des Charpentiers 32, CP 348",1110 Morges 1,"Rue des Charpentiers 32, CP 348 1110 Morges 1 ",46.5094231,6.496236,Tél: 021 811 42 42,Fax: 021 811 42 40,https://www.heviva.ch/institutions/detail/ems/diligence-cat-de-lems.html,admin@la-diligence.ch
72,"DONATELLA MAURI, CAT de la Fondation",Chemin du Brit 2,1032 Romanel-sur-Lausanne,Chemin du Brit 2 1032 Romanel-sur-Lausanne ,46.5619575,6.6018092,Tél: 021 641 07 39,Fax: 021 641 07 07,https://www.heviva.ch/institutions/detail/ems/donatella-mauri-cat-de-la-fondation.html,animation@donatellamauri.ch
73,"DONATELLA MAURI, FONDATION",Chemin du Brit 2,1032 Romanel-sur-Lausanne,Chemin du Brit 2 1032 Romanel-sur-Lausanne ,46.5619575,6.6018092,Tél: 021 641 07 00,Fax: 021 641 07 07,https://www.heviva.ch/institutions/detail/ems/donatella-mauri-fondation.html,administration@donatellamauri.ch
74,"EIKENOTT, LP d'",Allé Léothérius 1,1196 Gland,Allé Léothérius 1 1196 Gland ,46.4268729,6.2640328,Tél: 022 354 04 10,,https://www.heviva.ch/institutions/detail/ems/eikenott-lp-d.html,greffe.municipal@gland.ch
75,EMS LA DOUVAZ,Chemin de la Douvaz 1,1423 Villars-Burquin,Chemin de la Douvaz 1 1423 Villars-Burquin ,46.8491152,6.6187485,Tél: 024 436 04 04,,https://www.heviva.ch/institutions/detail/ems/douvaz-ems-la.html,emsdouvaz@fondation-saphir.ch
76,"ESCAPADE L', EMS",Rue du Martinet 2,1188 Gimel,Rue du Martinet 2 1188 Gimel ,46.5089151,6.3067809,Tél: 058 748 87 00,Fax: 058 748 87 49,https://www.heviva.ch/institutions/detail/ems/escapade-l-ems.html,sandrine.heuls@altage.ch
77,"ETOILE DU MATIN, EMS",Chemin de l'Etoile du Matin 5,1805 Jongny,Chemin de l'Etoile du Matin 5 1805 Jongny ,46.4844304,6.8477858,Tél: 021 925 95 55,,https://www.heviva.ch/institutions/detail/ems/etoile-du-matin-ems.html,admin@fcm63.ch
78,"FAVERGE, CAT de l'EMS La",Route de Bulle 10,1610 Oron-la-Ville,Route de Bulle 10 1610 Oron-la-Ville ,46.5705811,6.8300625,Tél: 021 908 09 08,Fax: 021 908 09 09,https://www.heviva.ch/institutions/detail/ems/faverge-cat-de-lems-la.html,secretariat-reception@emsfaverge.ch
79,"FAVERGE, CS de l'EMS la",Route de Bulle 10,1610 Oron-la-Ville,Route de Bulle 10 1610 Oron-la-Ville ,46.5705811,6.8300625,Tél: 021 908 09 08,Fax: 021 908 09 09,https://www.heviva.ch/institutions/detail/ems/faverge-cs-de-lems-la.html,secretariat-reception@emsfaverge.ch
80,"FAVERGE, EMS LA",Route de Bulle 10,1610 Oron-la-Ville,Route de Bulle 10 1610 Oron-la-Ville ,46.5705811,6.8300625,Tél: 021 908 09 08,Fax: 021 908 09 09,https://www.heviva.ch/institutions/detail/ems/faverge-ems-la.html,secretariat-reception@emsfaverge.ch
81,"FAVERGE, LP",Route de Palézieux 15 A et 15 B,1610 Oron-la-Ville,Route de Palézieux 15 A et 15 B 1610 Oron-la-Ville ,46.5694657,6.8295718,Tél: 021 908 09 08,Fax: 021 908 09 09,https://www.heviva.ch/institutions/detail/ems/faverge-lp.html,secretariat-reception@emsfaverge.ch
82,"FLON, EMS LE",Rte du Flon 19,1610 Oron-la-Ville,Rte du Flon 19 1610 Oron-la-Ville ,46.5697895,6.8230597,Tél: 021 908 02 00,Fax: 021 908 02 08,https://www.heviva.ch/institutions/detail/ems/flon-ems-le.html,leflon.info@fondationdurelais.ch
83,"FONDATION PRIMEROCHE, CAT DE LA HALTE-RELAIS",Rue des Métiers 2,1008 Prilly,Rue des Métiers 2 1008 Prilly ,46.5335221,6.6060138,Tél: 021 545 56 40,Fax: 021 545 56 41,https://www.heviva.ch/institutions/detail/ems/halte-relais-cat-de-la-fondation-primeroche.html,info@primeroche.ch
84,"FONDATION PRIMEROCHE, CAT LE GRAND PRE",Rue du Grand-Pré 2,1033 Cheseaux-Lausanne,Rue du Grand-Pré 2 1033 Cheseaux-Lausanne ,46.583263,6.6035955,Tél: 021 545 55 67,Fax: 021 545 55 56,https://www.heviva.ch/institutions/detail/ems/grand-pre-cat-de-la-fondation-primeroche.html,info@primeroche.ch
85,"FONDATION PRIMEROCHE, CAT LE VALENTIN",Rue du Valentin 34,1004 Lausanne,Rue du Valentin 34 1004 Lausanne ,46.5264946,6.6315242,Tél: 021 545 56 75,Fax: 021 545 56 76,https://www.heviva.ch/institutions/detail/ems/valentin-cat-de-la-fondation-primeroche.html,info@primeroche.ch
86,"FONDATION PRIMEROCHE, CS DE LA HALTE-RELAIS",Rue des Métiers 2,1008 Prilly,Rue des Métiers 2 1008 Prilly ,46.5335221,6.6060138,Tél: 021 545 56 40,Fax: 021 545 56 41,https://www.heviva.ch/institutions/detail/ems/halte-relais-primeroche-cs.html,info@primeroche.ch
87,"FONDATION PRIMEROCHE, EMS LE GRAND PRE",Rue du Grand Pré 2,1033 Cheseaux-sur-Lausanne,Rue du Grand Pré 2 1033 Cheseaux-sur-Lausanne ,46.583263,6.6035955,Tél: 021 545 55 55,Fax: 021 545 55 56,https://www.heviva.ch/institutions/detail/ems/grand-pre-ems-le.html,info@primeroche.ch
88,"FONDATION PRIMEROCHE, EMS LES LYS",Rue des Métiers 3,1008 Prilly,Rue des Métiers 3 1008 Prilly ,46.5331571,6.606505,Tél: 021 545 55 55,Fax: 021 545 55 56,https://www.heviva.ch/institutions/detail/ems/lys-ems-les.html,info@primeroche.ch
89,"FONDATION PRIMEROCHE, LOGEMENTS SUPERVISES DE RENENS",Avenue du 14 avril 3,1020 Renens,Avenue du 14 avril 3 1020 Renens ,46.5394055,6.58039,Tél: 079 386 57 71,Fax: 021 545 56 41,https://www.heviva.ch/institutions/detail/ems/logements-supervises-renens-de-la-fondation-primeroche.html,info@primeroche.ch
90,"FONDATION PRIMEROCHE, LP DE PRILLY",Avenue de la Confrérie 44,1008 Prilly,Avenue de la Confrérie 44 1008 Prilly ,46.5332825,6.6056427,Tél: 021 545 56 40,Fax: 021 545 56 41,https://www.heviva.ch/institutions/detail/ems/prilly-lp-de-la-fondation-primeroche.html,info@primeroche.ch
91,"FONDATION PRIMEROCHE, LP LE GRAND PRE",Rue du Grand Pré 10 et 12,1033 Cheseaux-sur-Lausanne,Rue du Grand Pré 10 et 12 1033 Cheseaux-sur-Lausanne ,46.583329,6.603668,Tél: 021 545 55 67,Fax: 021 545 55 56,https://www.heviva.ch/institutions/detail/ems/grand-pre-lp-de-la-fondation-primeroche.html,info@primeroche.ch
